type,d,g,t,se_d,se_g,ci_lb_d,ci_ub_d,ci_lb_g,ci_ub_g,p_value,run,model_type,simulation,current_seen_hours,overall_seen_hours,batch_num,language,chronological_age,significant
ids_preference,-0.8923616026130164,-0.8895465817845842,-6.912203251430347,0.0183256442287876,0.0183151940024263,-1.157686323789877,-0.6270368814361561,-1.1547956412614178,-0.6242975223077507,7.043686565386895e-11,run3,apc,baseline,43.7,43.7,10926,english,0.5,significant
ids_preference,-0.8873760259372222,-0.884576732480007,-6.873585140557165,0.0183071587737669,0.018296824990927,-1.152566894093226,-0.6221851577812185,-1.1496927443542309,-0.6194607206057832,7.701939304167637e-11,run2,apc,baseline,43.7,43.7,10926,english,0.5,significant
ids_preference,-0.7780202431904282,-0.7755659206567045,-6.026518889777546,0.0179277406225293,0.0179197968693418,-1.0404486664786303,-0.515591819902226,-1.0379361966957028,-0.5131956446177062,7.581503171784717e-09,run1,apc,baseline,223.9,223.9,55976,english,2.6,significant
ids_preference,-0.6871740302456595,-0.6850062888253262,-5.322827150175342,0.0176504336413417,0.017644236699438,-0.9475649171841404,-0.4267831433071785,-0.9453514610553316,-0.4246611165953208,2.694505771051715e-07,run3,apc,baseline,223.9,223.9,55976,english,2.6,significant
ids_preference,-0.7122273429621562,-0.7099805690095942,-5.5168892760119785,0.0177234745584644,0.0177168175174399,-0.9731564476552914,-0.4512982382690209,-0.9708606658491156,-0.4491004721700729,1.1043621498253185e-07,run2,apc,baseline,223.9,223.9,55976,english,2.6,significant
ids_preference,-0.648042696068641,-0.6459983973428723,-5.019717139010403,0.0175415819498498,0.0175360706861865,-0.9076294151244884,-0.3884559770127935,-0.9055443343516552,-0.3864524603340894,1.1402323264534314e-06,run1,apc,baseline,652.5,652.5,163125,english,7.5,significant
ids_preference,-0.6652218343247338,-0.663123342733804,-5.152786171746487,0.0175885835184632,0.0175827761826634,-0.9251560938991809,-0.4052875747502868,-0.9230146866819684,-0.4032319987856396,5.881579771696117e-07,run3,apc,baseline,652.5,652.5,163125,english,7.5,significant
ids_preference,-0.7160262165226438,-0.7137674587418152,-5.546315224080211,0.0177347782140577,0.0177280499690807,-0.977038515473184,-0.4550139175721034,-0.9747302413898996,-0.4528046760937307,8.427584796671835e-08,run2,apc,baseline,652.5,652.5,163125,english,7.5,significant
ids_preference,-0.7604651268482013,-0.7580661832303837,-5.890537543309189,0.0178714733524005,0.017863884037828,-1.0224814029616882,-0.4984488507347144,-1.020026819412562,-0.4961055470482051,1.4085433815234102e-08,run1,apc,baseline,783.0,783.0,195750,english,9.0,significant
ids_preference,-0.684911235053317,-0.6827506317881645,-5.3052996139837,0.017643965416463,0.0176378092191815,-0.9452544058511968,-0.4245680642554371,-0.9430483801509676,-0.4224528834253616,2.818401727230151e-07,run3,apc,baseline,783.0,783.0,195750,english,9.0,significant
ids_preference,-0.7929100612414223,-0.7904087676728374,-6.141854924456662,0.0179764715942039,0.0179682208750293,-1.0556949073998565,-0.5301252150829879,-1.0531333013056177,-0.5276842340400572,3.8204479722447645e-09,run2,apc,baseline,783.0,783.0,195750,english,9.0,significant
